0,9200
1,12000
2,5300
3,5400
4,6100
5,14200
6,7900
7,11300
8,9800
9,10600
10,11800
11,21200
12,14300
13,16100
14,28500
15,22800
16,20400
17,19800
18,20800
19,21700
20,29700
21,32500
22,39800
23,26500
24,27200
25,31000
26,32000
27,33900
28,34300
29,31200
30,34700
31,35100
32,35800
33,41400
34,37000
35,36300
36,29700
37,30200
38,32400
39,31800
40,32700
41,32300
42,44400
43,35100
44,45000
45,38700
46,35000
47,39000
48,40900
49,41900
50,64300
51,60800
52,65700
53,51000
54,45000
55,45900
56,45800
57,48800
58,46200
59,50400
60,47900
61,51400
62,48600
63,53800
64,53400
65,51800
66,57000
67,56200
68,53400
69,56600
70,55200
71,59200
72,57200
73,58500
74,59500
75,59700
76,62700
77,61900
78,68100
79,63400
80,63100
81,72100
82,63700
83,66800
84,66800
85,66600
86,69800
87,71800
88,69400
89,73300
90,72700
91,73000
92,73100
93,76500
94,77000
95,77900
96,77700
97,81500
98,82300
99,81700
100,83200
101,83900
102,84800
103,86300
104,85900
105,87200
106,76700
107,73900
108,74800
109,76900
110,76300
111,76700
112,77100
113,77700
114,78500
115,78700
116,81300
117,80900
118,81800
119,92500
120,81600
121,138000
122,117600
123,169700
124,181600
125,78400
126,70700
127,93600
128,138500
129,154200
130,100600
131,91600
132,72500
133,81100
134,96400
135,112000
136,159700
137,135500
138,103600
139,131700
140,117600
141,108900
142,116800
143,131700
144,102600
145,108700
146,131700
147,79100
148,105600
149,97000
150,97000
151,86000
152,97600
153,75200
154,72900
155,74300
156,75900
157,73300
158,74000
159,76600
160,148800
161,104800
162,100300
163,106600
164,88700
165,76300
166,55400
167,55500
168,56000
169,53900
170,60500
171,55400
172,55900
173,56000
174,57900
175,56200
176,56400
177,58800
178,57200
179,75200
180,58300
181,56700
182,59100
183,59000
184,61100
185,58500
186,61500
187,59200
188,60700
189,59800
190,60200
191,80600
192,1630100
193,169600
194,161700
195,157800
196,112900
197,99500
198,96300
199,96400
200,99800
201,105400
202,92600
203,95800
204,98500
205,102000
206,101600
207,77300
208,71800
209,70300
210,72100
211,72000
212,72000
213,100600
214,81900
215,74000
216,60200
217,58400
218,66000
219,75500
220,58700
221,58900
222,60400
223,64100
224,54800
225,54100
226,55000
227,59900
228,56700
229,54700
230,56300
231,55700
232,57500
233,55500
234,56700
235,61200
236,57300
237,57100
238,57400
239,58300
240,57100
241,57400
242,57900
243,58700
244,58900
245,59200
246,59100
247,78800
248,80300
249,76400
250,68500
251,61700
252,60200
253,93100
254,78400
255,72700
256,70400
257,72600
258,72100
259,74000
260,72600
261,71300
262,72700
263,78200
264,72600
265,72500
266,72900
267,81500
268,69400
269,63400
270,64600
271,64800
272,83300
273,96000
274,90600
275,92100
276,90900
277,89100
278,102600
279,90400
280,99700
281,94200
282,93500
283,82000
284,65300
285,66100
286,68600
287,129600
288,102100
289,98500
290,97700
291,101700
292,100900
293,107300
294,100500
295,91000
296,99700
297,92000
298,94400
299,98200
300,101700
301,116600
302,102400
303,101700
304,103900
305,100400
306,104100
307,101400
308,100100
309,102500
310,101300
311,103200
312,100300
313,100500
314,99200
315,98500
316,100800
317,97900
318,101700
319,97200
320,98700
321,98000
322,98500
323,98600
324,98100
325,100300
326,98200
327,97000
328,98200
329,97400
330,97900
331,102000
332,100100
333,100100
334,99900
335,104900
336,141500
337,120700
338,106700
339,116100
340,115100
341,170700
342,121400
343,136000
344,133300
345,89400
346,88600
347,125600
348,236900
349,76400
350,73500
351,78400
352,64900
353,68300
354,65400
355,65600
356,66300
357,65300
358,65500
359,68800
360,67200
361,71600
362,75900
363,67600
364,71200
365,68400
366,77900
367,83200
368,64500
369,65400
370,128100
371,62400
372,50800
373,53500
374,52900
375,49200
376,44800
377,45600
378,48600
379,46100
380,54400
381,44100
382,51500
383,45000
384,49000
385,60900
386,80600
387,68900
388,55500
389,132100
390,60900
391,55800
392,62000
393,57200
394,71900
395,60500
396,46700
397,37400
398,37900
399,36100
400,38300
401,37100
402,70100
403,38000
404,36700
405,37800
406,37800
407,36600
408,45300
409,55800
410,40100
411,39000
412,40000
413,37800
414,38100
415,37500
416,38300
417,37800
418,38200
419,43000
420,36800
421,38500
422,38500
423,40800
424,38400
425,38400
426,38200
427,38100
428,39200
429,38100
430,38500
431,38800
432,38900
433,38400
434,38400
435,38800
436,50700
437,38500
438,38200
439,38200
440,38600
441,38400
442,57600
443,40800
444,38400
445,38700
446,38800
447,38600
448,78900
449,39700
450,62400
451,38900
452,39100
453,38900
454,39300
455,71000
456,39000
457,38600
458,40100
459,39700
460,39700
461,68100
462,39900
463,40900
464,39800
465,43800
466,39800
